group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
LAWRENCE UNION FREE SCHOOL DISTRICT,NY,17592297178284,3616830,37,2066267.33,5,1755,119263.91,702,17592191613033,34,1845427.33,0,0,0,4030958.56,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
FAYETTE COUNTY PUBLIC SCHOOLS,TN,17592246333353,4701170,7,2189700,8,1567,625149.27,43,17592246567498,4,1091500,0,0,0,3906349.27,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
KONOCTI UNIFIED SCHOOL DISTRICT,CA,17592246333664,620070,6,1977112.88,13,3234,898507.35,40,17592246466811,2,452170,0,0,0,3327790.22,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ALLENDALE SCHOOL DISTRICT 01,SC,17592246331473,4500750,15,1501501.46,5,1946,467682.43,46,17592246339018,8,937250,0,0,0,2906433.89,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
POUGHKEEPSIE CITY SCHOOL DISTRICT,NY,17592242410636,3623760,16,1317584.68,8,6148,738852.13,417,17592188068490,12,679337.08,0,0,0,2735773.88,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ABBEVILLE COUNTY SCHOOL DISTRICT,SC,17592236683731,4500690,6,1280200,10,224,82526.08,9,17592246405005,6,1280200,0,0,0,2642926.08,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
AMITYVILLE SCHOOL DISTRICT,NY,17592238765516,3602940,14,838945.8,4,14322,602991.15,810,17592191844246,13,800945.8,0,0,0,2242882.75,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MIDDLETOWN UNIFIED SCHOOL DISTRICT,CA,17592246338331,624750,14,1187220.14,7,1520,300439.25,25,17592190779555,10,713059.8,0,0,0,2200719.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ELMIRA CITY SCHOOL DISTRICT,NY,17592246331881,3610560,17,1018771.8,12,4705,463412.43,146,17592191730602,13,671674,0,0,0,2153858.23,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
VALLEJO CITY UNIFIED SCHOOL DISTRICT,CA,17592246333712,640740,5,811264,26,778,257587.89,13,17592246375495,4,809139,0,0,0,1877990.89,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NEW ROCHELLE CITY SCHOOL DISTRICT,NY,17592297177616,3620490,5,830000,11,1649,43422.28,404,17592191523636,6,920000,0,0,0,1793422.28,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CHOWCHILLA ELEMENTARY SCHOOL DISTRICT,CA,17592238766914,608520,5,799592.69,6,4062,324187.9,626,17592199051538,4,599592.69,0,0,0,1723373.28,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SMITHTOWN CENTRAL SCHOOL DISTRICT,NY,17592297178282,17592238767576,20,863752.2,13,1359,216540.64,636,17592191139113,15,569538.38,0,0,0,1649831.22,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
BATAVIA CITY SCHOOL DISTRICT,NY,17592246348796,3603990,8,927959.45,11,14053,540941.9,396,17592188016177,2,127400,0,0,0,1596301.36,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
LEWIS COUNTY SCHOOLS,WV,17592246338266,5400630,2,788480,7,0,0,3,17592238970246,2,788480,0,0,0,1576960,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MATHIS INDEPENDENT SCHOOL DISTRICT,TX,17592246338307,4829400,4,804095.45,5,591,229426.98,8,17592246405424,2,471300,0,0,0,1504822.43,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WHITESBORO CENTRAL SCHOOL DISTRICT,NY,17592297177391,3631320,6,698198,7,0,0,0,17592234450106,6,698198,0,0,0,1396396,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CHARLESTON COUNTY SCHOOL DISTRICT,SC,17592295326075,4501440,0,0,87,0,0,18,17592284310929,3,1365000,0,0,0,1365000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SULLIVAN COUNTY BOCES,NY,17592246333751,3680880,9,632006.32,2,362,186921.12,7,17592188053956,8,542006.32,0,0,0,1360933.76,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PORT BYRON SCHOOL DISTRICT,NY,17592297177170,3623430 ,26,747820.81,4,4254,171356.34,234,17592191996361,22,440604.37,0,0,0,1359781.52,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MOORE COUNTY SCHOOLS,NC,17592246338333,3703090,3,624593,24,0,0,5,17592238996739,3,624593,0,0,0,1249186,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
AUBURN CITY SCHOOL DISTRICT,NY,17592297177667,3603480,26,644557.39,9,4902,152798.84,228,17592191438099,21,416435.5,0,0,0,1213791.73,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WAKE COUNTY SCHOOLS,NC,17592238767690,3704720,3,425000,195,7207,358429.52,167,17592236505927,3,425000,0,0,0,1208429.52,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GREECE CENTRAL SCHOOL DISTRICT,NY,17592246333630,3612630,8,679688.31,18,1117,392569.08,12,17592242957776,3,128107,0,0,0,1200364.39,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PORT JERVIS CITY SCHOOL DISTRICT,NY,17592246396739,3623520,6,501539,5,7605,338778.77,249,17592188077542,4,253441,0,0,0,1093758.77,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ONAMIA PUBLIC SCHOOL DISTRICT,MN,17592288467451,2725050,4,628809.48,7,821,213707.5,6,17592284310606,2,163369.3,0,0,0,1005886.28,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ONTEORA SCHOOL DISTRICT,NY,17592297177623,3621840,12,464083.21,6,2576,131948.45,149,17592188521594,8,370574,0,0,0,966605.66,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
PORT CHESTER-RYE SCHOOL DISTRICT,NY,17592297177633,3623460,16,484012,7,611,673.2,127,17592191434647,15,455962,0,0,0,940647.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MAHOPAC SCHOOL DISTRICT,NY,17592297177468,3618120,17,474652,6,329,4605.3,491,17592187744220,15,444652,0,0,0,923909.3,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
UNION FREE SCHOOL DISTRICT OF THE TARRYTOWNS,NY,17592295337099,3628650,0,0,5,0,0,0,17592284313389,2,900000,0,0,0,900000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SAN LEANDRO UNIFIED SCHOOL DISTRICT,CA,17592246338458,634680,5,445676,14,201,69475,4,17592239500540,4,384675,0,0,0,899826,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
"PEE DEE MATH, SCIENCE, AND TECHNOLOGY ACADEMY",SC,17592255886226,450390101619,13,619851.2,1,0,0,0,17592255886009,6,259718,0,0,0,879569.2,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GENEVA CITY SCHOOL DISTRICT,NY,17592297177411,3611970,9,405171.38,5,3359,149504.65,167,17592232047823,7,324183,0,0,0,878859.03,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ITHACA CITY SCHOOL DISTRICT,NY,17592297177597,3615570,16,479758.31,12,3027,108326.07,151,17592236776574,5,262554,0,0,0,850638.38,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
