,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
New York City Department of Education,3620580,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$7,499.70",$0.00,,,
New York State Office of Children And Family Services,3600131,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Newark,3411340,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$400,000.00",$0.00,,,
Newfield Central School District,3620790,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$59,597.75",$0.00,$0.00,$0.00,"$58,000.00",,,
Newport News Public Schools,5102640,VA,Virginia 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Newton-Conover City Schools,3703360,NC,North Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$96,000.00",$0.00,,,
Niagara - Wheatfield School District,3620850,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$41,692.45",$0.00,$0.00,$0.00,"$75,000.00",,,
Niskayuna Central School District,3620880,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$25,796.40","$22,748.00",$0.00,,,
North Adams-Jerome Schools,2625650,MI,Michicagn 2027,2027,Phil Dugliss,EK12,"$46,500.00",$0.00,$0.00,$0.00,"$46,500.00",,,
North Arlington School District,3411430,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$24,000.00",$0.00,,,
North Chicago Community Unit School District 187,1700110,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$26,760.00","$14,000.00",$0.00,,,
North Country Supervisory Union,5099931,VT,Vermont 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
North Kansas City Schools,2922800,MO,Missouri 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$120,000",$0.00,,,
North Knox School Corporation,1807830,IN,Indiana 2027,2027,Patricia Kiedrow,EK12,"$66,291.00",$0.00,$0.00,$0.00,"$66,291.00",,,
North Little Rock School District,0510680,AR,Arkansas 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$38,920.00",$0.00,,,
North Plainfield Borough School District,3411640,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,"$62,118.00",$0.00,$0.00,$0.00,"$62,118.00",,,
North Salem School District,3621180,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$1,816.80",$0.00,$0.00,$0.00,"$30,000.00",,,
North Syracuse School District,3621210,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$356,922.71",$0.00,$0.00,$0.00,"$375,000.00",,,
North Texas Collegiate Academy,4800187,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$4,500.00",$0.00,,,
North Warren Regional School District,3409550,NJ,New Jersey 2027,2027,Jen Dwight,EK12,$0.00,$0.00,$0.00,"$15,816.00",$0.00,,,
Northeast Academy of Aerospace And Advanced Technology,3700394,NC,North Carolina 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$20,838.00",$0.00,,,
Northside Charter High School-NYC,3600948,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
Norwalk Public Schools,0903090,CT,Connecticut 2027,2027,Nora Navarro,EK12,$0.00,$0.00,"$26,336.00",$0.00,"$55,000.00",,,
Norwood School District R 2 - Jt,0805880,CO,Colorado 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$35,340.00",$0.00,,,
Nottoway County Public Schools,5102790,VA,Virginia 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$37,500.00",$0.00,,,
Nuestro Elementary School District,0627750,CA,California 2027,2027,Monica Sherwood,Fullmind,"$4,581.72",$0.00,$0.00,$0.00,$0.00,,,
Nye County School District,3200360,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$65,824.00",$0.00,$0.00,,,
Oakley Unified School District 274,2010050,KS,Kansas 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$18,600.00",$0.00,,,
Oberlin Unified School District 294,2010080,KS,Kansas 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$10,168.00",$0.00,,,
Obion County School District,4703270,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$22,500.00",$0.00,,,
Ogdensburg City School District,3621660,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$151,546.00",$0.00,$0.00,$0.00,"$120,000.00",,,
Ohio County Schools,5401050,WV,West Virginia,2027,Stephanie Eastman,EK12,$0.00,$0.00,$0.00,"$27,900.00",$0.00,,,
Oklahoma City Public Schools,4022770,OK,Oklahoma 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$140,000",$0.00,,,
Omaha Public Schools,3174820,NE,Nebraska 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$120,000",$0.00,,,
Onamia Public School District,2721720,MN,Minnesota 2027,2027,Tony Skauge,Fullmind,"$213,707.50",$0.00,$0.00,$0.00,"$313,000.00",,,
One City schools,5500083,WI,Wisconsin 2027,2027,Tony Skauge,Fullmind,"$72,678.00",$0.00,$0.00,$0.00,"$77,000.00",,,
Onsted Community Schools,2626520,MI,Michicagn 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$25,200.00",$0.00,,,
Onteora School District,3621840,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$103,497.00",$0.00,$0.00,$0.00,"$33,000.00",,,
Orange County Public Schools,5102820,VA,Virginia 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Orchard Park Central School District,3621900,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$25,000.00","$25,000.00",,,
Ore City Independent School District,4833840,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$25,500.00",$0.00,,,
Orleans Central Supervisory Union,5099934,VT,Vermont 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Osborn Elementary District,0405670,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$11,780.00",$0.00,$0.00,,,
Osceola School District,5511160,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,"$44,760.00",$0.00,$0.00,$0.00,"$44,760.00",,,
Oshkosh Area School District,5511190,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$14,832.00",$0.00,,,
Otsego Northern Catskills BOCES,3680380,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$3,000.00",$0.00,,,
Ottawa Township High School District 140,1730330,IL,Illinois 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$11,400.00",$0.00,,,
Oyster Bay East Norwich School District,3622290,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Pacific Charter Institute,0602510,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Page County Public Schools,5102850,VA,Virginia 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$156,600.00",$0.00,,,
Palo Alto Unified School District,0629610,CA,California 2027,2027,Monica Sherwood,Fullmind,"$2,446.56",$0.00,$0.00,$0.00,"$65,000.00",,,
Paloma Elementary District,0408430,AZ,Arizona 2027,2027,Phil Dugliss,EK12,"$11,894.95",$0.00,$0.00,$0.00,"$11,894.95",,,
Paramus School District,3412420,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$27,216.00","$15,000.00",$0.00,,,
Pardeeville Area School District,5511370,WI,Wisconsin 2027,2027,,EK12,$0.00,$0.00,"$12,247.40",$0.00,$0.00,,,
Parker Unified School District,0405980,AZ,Arizona 2027,2027,Phil Dugliss,EK12,"$12,759.00",$0.00,$0.00,$0.00,"$12,759.00",,,
Patchogue - Medford School District,3622470,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Paterson Public Schools,3412690,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$300,000.00","$300,000.00",,,
Paton-Churdan Community School District,1922380,IA,Iowa 2027,2027,,EK12,$0.00,$0.00,"$13,332.00",$0.00,$0.00,,,
Penns Grove,3412840,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$175,000.00",$0.00,,,
Penns Valley Area School District,4218810,PA,Pennsylvania 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Peoria Unified School District,0406250,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$16,800.00",$0.00,$0.00,,,
Perth Amboy,3412930,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$250,000.00",$0.00,,,
Pharr-San Juan-Alamo ISD,4834860,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$125,000",$0.00,,,
Philadelphia School District,4218990,PA,Pennsylvania 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Phillipsburg School District,3412960,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$16,221.06","$16,221.06",,,
Phoenix Union High School District,0406330,AZ,Arizona 2027,2027,Jenn Russart,EK12,"$198,797.00",$0.00,$0.00,$0.00,"$200,000.00",,,
Phoenix-Talent,4109630,OR,Oregon 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Pickens County School District 01,4503330,SC,South Carolina 2027,2027,Liz Winnen,EK12,"$239,305.00","$13,500.00",$0.00,$0.00,"$240,000.00",,,
Pierce Joint Unified School District,0630360,CA,California 2027,2027,,EK12,$0.00,$0.00,"$12,600.00",$0.00,$0.00,,,
Pilot Point Independent School District,4834920,TX,Texas 2027,2027,Lauren Kleist,EK12,"$85,872.00",$0.00,$0.00,$0.00,"$30,240.00",,,
Pine Bush Central School District,3623010,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$64,545.60",$0.00,$0.00,,,
Plainview Old-Bethpage School District,3623220,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$884.30,$0.00,$0.00,$0.00,$0.00,,,
Plano Community Unit School District 88,1731770,IL,Illinois 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$16,128.00",$0.00,,,
Pleasant Hill R-III School District,2925330,MO,Missouri 2027,2027,Nora Navarro,EK12,"$37,600.00",$0.00,$0.00,$0.00,"$37,600.00",,,
Pleasantville School District,3413200,NJ,New Jersey 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$43,572.00",$0.00,,,
Point Isabel Independent School District,4835250,TX,Texas 2027,2027,Monica Davis,EK12,$0.00,$0.00,$0.00,"$12,400.00",$0.00,,,
Pope Valley Union Elementary School District,0631380,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$67,958.80",$0.00,,,
Port Byron School District,3623430,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$102,508.96","$7,500.00",$0.00,$0.00,"$125,000.00",,,
Port Chester-Rye School District,3623460,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,"$11,220.00",$0.00,$0.00,,,
Port Jefferson School District,3623490,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Port Jervis City School District,3623520,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$119,037.73",$0.00,$0.00,$0.00,"$105,048.00",,,
Port Washington School District,3623580,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Portsmouth Public Schools,5103000,VA,Virginia 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Poughkeepsie City School District,3623760,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$138,141.20","$158,411.23",$0.00,,,
Prairie-Hills Elementary School District 144,1724720,IL,Illinois 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$13,425.00",$0.00,,,
Prince George's County Public Schools,2400510,MD,Maryland 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$37,500.00",$0.00,,,
Princeton City School District,3904467,OH,Ohio 2027,2027,Nakeia Jones,EK12,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
Proviso Township High School District 209,1732910,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$235,640.00",$0.00,$0.00,,,
Puc Triumph Charter Academy And Puc Triumph Charter High,0601484,CA,California 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$30,948.00",$0.00,,,
Puerto Rico Department of Education (PRDE),7200030,PR,Puerto Rico 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$200,000",$0.00,,,
Putnam City Schools,4025290,OK,Oklahoma 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$110,000",$0.00,,,
Putnam Valley School District,3624000,NY,New York 2027,2027,Brooke Fera,Fullmind,"$42,353.76",$0.00,$0.00,$0.00,$0.00,,,
Quincy Community School District,2629250,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$21,480.00",$0.00,$0.00,,,
Quinter Public Schools 293,2010950,KS,Kansas 2027,2027,,EK12,$0.00,$0.00,"$23,464.00",$0.00,$0.00,,,
Quitman Consolidated School District,2803810,MS,Mississippi 2027,2027,Lisa Bufka,EK12,$0.00,$0.00,$0.00,"$11,124.00",$0.00,,,
Quogue,3609900,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Racine Unified School District,5512360,WI,Wisconsin 2027,2027,Jenn Russart,EK12,"$48,345.00",$0.00,$0.00,$0.00,"$48,345.00",,,
Rains Independent School District,4836360,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Randolph County School System,1304350,GA,Georgia 2027,2027,Nora Navarro,EK12,"$88,350.00",$0.00,$0.00,$0.00,"$88,350.00",,,
Randolph County Schools,3703780,NC,North Carolina 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$15,232.00",$0.00,,,
Rapelje Elementary District,3021870,MT,Montana 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Rapid City School District,4659820,SD,South Dakota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$65,000",$0.00,,,
Raytown Quality Schools,2926070,MO,Missouri 2027,2027,,EK12,$0.00,$0.00,"$227,748.67","$10,957.52",$0.00,,,
Redford Union School District No 1,2629460,MI,Michicagn 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$21,400.00","$21,400.00",,,
Regional School Unit 22,2314815,ME,Maine 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$34,000.00",$0.00,,,
Renwick Unified School District 267,2011080,KS,Kansas 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$15,444.00",$0.00,,,
Repertory High School,3600077,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$90,000.00","$90,000.00",,,
Reynoldsburg City School District,3904700,OH,Ohio 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",,,
Rhea County School District,4703510,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$14,000.00",$0.00,,,
Rialto Unified School District,0632370,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Richfield Springs Central School District,3624570,NY,New York 2027,2027,,EK12,$0.00,$0.00,"$24,060.00",$0.00,$0.00,,,
Richland County School District 01,4503360,SC,South Carolina 2027,2027,Liz Winnen,EK12,"$847,500.00","$150,000.00",$0.00,$0.00,"$600,000.00",,,
Richland School District Two,4503390,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,"$273,916.00",$0.00,$0.00,$0.00,"$1,640,000.00",,,
Richmond County School District,1304380,GA,Georgia 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Richmond County Schools,3703870,NC,North Carolina 2027,2027,Liz Winnen,EK12,"$5,222.00",$0.00,$0.00,$0.00,"$5,222.00",,,
Richton School District,2803870,MS,Mississippi 2027,2027,Liz Winnen,EK12,"$22,087.50",$0.00,$0.00,$0.00,"$22,087.50",,,
River Dell Regional High School District,3412260,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$573.00,"$36,000.00",$0.00,$0.00,$0.00,,,
Roane County School District,4703590,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Robinson Independent School District,4837410,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$40,000.00",$0.00,,,
Rochelle Township High School District 212,1734290,IL,Illinois 2027,2027,Kalli Bass,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Rochester City School District,3624750,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Rochester Community Unit School District 3A,1734320,IL,Illinois 2027,2027,Rachel Reynoso,Fullmind,"$4,533.00","$6,000.00",$0.00,$0.00,$0.00,,,
Rock Hills Unified School District 107,2000029,KS,Kansas 2027,2027, ,Fullmind,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Rockdale County Public Schools,1304410,GA,Georgia 2027,2027,Nora Navarro,EK12,"$764,826.00",$0.00,$0.00,$0.00,"$509,817.00",,,
Rocksprings Independent School District,4800003,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$10,544.00",$0.00,$0.00,,,
Rockville Centre School District,3624780,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Rocky Boy Public Schools,3028911,MT,Montana 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$135,000.00",$0.00,,,
Rocky Point School District,3624840,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Roger Amos McMurtry School,2800183,MS,Mississippi 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Roosevelt Elementary District,0407080,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$18,660.00",$0.00,$0.00,,,
Roosevelt School District - Active,3624990,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Roselle Borough School District,3414280,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$215,000.00",$0.00,,,
Roslyn School District,3625050,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Rotan Independent School District,4838040,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
Rotterdam-Mohonasen School District,3600004,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,"$21,080.00",$0.00,"$50,000.00",,,
Roxbury Township School District,3414340,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$39,877.20",$0.00,,,
RSU 17 – Oxford Hills School District,2310770,ME,Maine 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
RSU 75 – Topsham,2314768,ME,Maine 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
RSU 9 – Mount Blue Regional School District,2314809,ME,Maine 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Rush County Schools,1809750,IN,Indiana 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$18,000.00",$0.00,,,
Rush-Henrietta Central School District,3625170,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$42,000.00","$42,000.00",,,
Rutherford County Schools,3704080,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$10,608.00",$0.00,$0.00,,,
Rutland City Public Schools,5007050,VT,Vermont 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Sahuarita Unified District,0407300,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$25,206.00",$0.00,$0.00,,,
Saint Landry Parish School Board,2201560,LA,Louisiana 2039,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Salamanca City Central School District,3625440,NY,New York 2027,2027,,EK12,$0.00,$0.00,"$23,979.07",$0.00,$0.00,,,
San Antonio ISD,4838730,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$175,000",$0.00,,,
San Leandro Unified School District,0634680,CA,California 2027,2027,,Fullmind,$0.00,$0.00,"$23,834.00","$30,000.00",$0.00,,,
San Marcos Unified School District,0634880,CA,California 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$28,907.85",$0.00,,,
Santa Cruz Valley Unified District 35,0407520,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$35,340.00",$0.00,$0.00,,,
Santa Fe Public Schools,3502370,NM,New Mexico 2027,2027,Jenn Russart,EK12,"$115,940.00",$0.00,$0.00,$0.00,"$115,940.00",,,
Saugerties Central School District,3625800,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$11,475.00",$0.00,,,
Savannah-Chatham County Public Schools,1301020,GA,Georgia 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$64,000.00","$89,525.00",,,
Sayreville School District,3414640,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$14,039.00",$0.00,$0.00,,,
Schoharie Central School District,3626100,NY,New York 2027,2027,,EK12,$0.00,$0.00,"$11,140.00",$0.00,$0.00,,,
School City of East Chicago,1802880,IN,Indiana 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$8,000.00","$8,950.00",,,
School District of The City Of Pontiac,2628740,MI,Michicagn 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$45,000.00","$64,480.00",,,
School Lane Charter School (District),4200030,PA,Pennsylvania 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Scuola Vita Nuova Charter School (District),2900019,MO,Missouri 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$18,300.00",$0.00,,,
Seacoast Classical Academy,3300031,NH,New Hampshire 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$9,371.42",$0.00,,,
Seaford School District,3626400,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$46,535.78",$0.00,$0.00,$0.00,"$55,000.00",,,
Seed PCS (District),1100022,DC,DC 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$4,073.04",$0.00,,,
Seguin Independent School District,4839690,TX,Texas 2027,2027,Lisa Bufka,EK12,$0.00,$0.00,$0.00,"$36,000.00",$0.00,,,
Seminole County Schools,1304530,GA,Georgia 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$4,800.00",$0.00,,,
Shade Canyon School District,0602576,CA,California 2027,2027,Monica Sherwood,Fullmind,"$31,572.88",$0.00,$0.00,$0.00,$0.00,,,
Sheboygan Area School District,5513650,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$41,745.00",$0.00,,,
Shell Lake School District,5513710,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$28,528.00",$0.00,,,
Sherburne-Earlville Central School District,3626700,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$3,000.00",$0.00,,,
Sheridan School District No. 2,0806540,CO,Colorado 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Shirley School District,0512420,AR,Arkansas 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$25,460.00",$0.00,,,
Shoreham - Wading River School District,3626840,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$10,104.00",$0.00,$0.00,$0.00,"$45,000.00",,,
Shorewood School District,5513800,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$17,024.00",$0.00,,,
Shullsburg School District,5513830,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$14,320.00",$0.00,,,
Sidney City School District,3910003,OH,Ohio 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$7,500.00",$0.00,,,
Sierra-Plumas Joint Unified School District,0636780,CA,California 2027,2027,,Fullmind,$0.00,$0.00,"$25,798.80",$0.00,$0.00,,,
Sioux Falls ISD,4666270,SD,South Dakota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$145,000",$0.00,,,
Smith County School District,4703870,TN,Tennessee 2027,2027,,EK12,$0.00,$0.00,"$27,276.00",$0.00,$0.00,,,
Smithtown Central School District,3627060,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$88,432.98",$0.00,$0.00,$0.00,"$95,000.00",,,
Somerset Hills Regional School District,3400009,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$17,900.00",$0.00,$0.00,,,
Somerton Elementary District,0407890,AZ,Arizona 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",,,
Somerville Public School District,3415090,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Somerville Public Schools,2510890,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Sonoma Valley Charter (District),0602260,CA,California 2027,2027,Monica Sherwood,Fullmind,$750.00,$0.00,$0.00,$0.00,$0.00,,,
Sonoma Valley Unified School District,0637200,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$40,000.00",$0.00,,,
South Amboy School District,3415120,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
South Bound Brook Borough Public School,3415180,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,"$60,530.70",$0.00,$0.00,$0.00,"$60,530.70",,,
South Haven Public Schools,2632300,MI,Michicagn 2027,2027,Phil Dugliss,EK12,"$42,512.50",$0.00,$0.00,$0.00,"$42,512.50",,,
South Huntington School District,3627300,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$3,000.00",$0.00,,,
South Monterey County Joint Union High School District,0619650,CA,California 2027,2027,Michael Richard,EK12,$0.00,$0.00,$0.00,"$10,686.00",$0.00,,,
South Orange-Maplewood School District,3415330,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$18,900.00","$16,155.70",,,
