,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
Butte County Office of Education,0691002,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$1,500,000.00","$1,500,000.00",,,
Butte Elementary Schools,3005280,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Cabarrus County Schools,3700530,NC,North Carolina 2027,2027,Stephanie Eastman,EK12,$0.00,$0.00,$0.00,"$10,800.00",$0.00,,,
Caddo Parish School Board,2200300,LA,Louisiana 2031,2027,Nora Navarro,EK12,"$750,000.00",$0.00,$0.00,$0.00,"$650,000.00",,,
Cairo-Durham Central School District,3606160,NY,New York 2027,2027,,EK12,$0.00,$0.00,"$14,768.00",$0.00,$0.00,,,
Calhoun Community Unit School District 40,1718180,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$31,000.00",$0.00,$0.00,$0.00,"$31,000.00",,,
Calhoun County Public Schools,4501250,SC,South Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$49,290.00",$0.00,,,
Calhoun County Public Schools (FL),1200210,FL,Florida 2027,2027,Jina Blount,EK12,$0.00,$0.00,$0.00,"$18,000.00",$0.00,,,
Calistoga Joint Unified School District,0607020,CA,California 2027,2027,Monica Sherwood,Fullmind,"$22,410.00",$0.00,$0.00,$0.00,"$40,000.00",,,
Calumet Public School District 132,1708130,IL,Illinois 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$62,320.00",$0.00,,,
Cambridge Public Schools,2503270,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Cambridge School District,5502100,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,"$11,630.00",$0.00,$0.00,$0.00,"$11,630.00",,,
Camden Central School District,3606240,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$5,550.00",$0.00,,,
Camden City,3402640,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$250,000.00",$0.00,,,
Camden County School District,1300780,GA,Georgia 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Camden-Fairview School District,0506060,AR,Arkansas 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$10,605.00",$0.00,,,
Camino Nuevo Charter Academy - Burlington (District),0601741,CA,California 2027,2027,Lauren Kleist,EK12,"$34,246.50",$0.00,$0.00,$0.00,"$34,246.50",,,
Camp Verde Unified District,0401600,AZ,Arizona 2027,2027,Brigette Smith,EK12,$0.00,$0.00,$0.00,"$21,964.00",$0.00,,,
Campbell-Savona Central School District,3600020,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$67,035.00",$0.00,$0.00,$0.00,"$98,000.00",,,
Canajoharie School District,3606300,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$109,248.00",$0.00,$0.00,$0.00,"$75,000.00",,,
