Agency NCES ID,Competitor,PO Number,PO Amount,Agency,Agency City,Agency State,PO Signed Date,Fiscal Year
3413230,Educere,PO-23-1296-,"$1,397",Plumsted Township School District,New Egypt,New Jersey,07/01/2023,FY24
3680820,Educere,24-01713,"$1,943",Eastern Suffolk Board of Cooperative Educational Services,Patchogue,New York,07/01/2023,FY24
3680820,Educere,24-01715,"$2,714",Eastern Suffolk Board of Cooperative Educational Services,Patchogue,New York,07/01/2023,FY24
,Educere,P202410570,"$2,300",Bergen Arts and Science Charter School,Walker,Minnesota,07/01/2023,FY24
3415090,Educere,2400957,"$5,000",Somerville Borough School District,Somerville,New Jersey,07/01/2023,FY24
3415090,Educere,2400896,"$9,975",Somerville Borough School District,Somerville,New Jersey,07/01/2023,FY24
3405220,Educere,24000110,"$10,000",Florence Township School District,Florence,New Jersey,07/01/2023,FY24
4200067,Educere,VEN:EDUCERE LLC DT:07/01/2023 INV:RenasnA2207,"$2,934",Renaissance Academy Charter School,Phoenixville,Pennsylvania,07/01/2023,FY24
3408100,Educere,24-000403,"$20,000",Lacey Township School District,Lanoka Harbor,New Jersey,07/01/2023,FY24
,Educere,P202420637,"$3,000",Passaic Arts and Science Charter School,Passaic,New Jersey,07/01/2023,FY24
3417820,Educere,24-02427,"$1,500",Westwood Regional School District,Township of Washington,New Jersey,07/01/2023,FY24
3680820,Educere,24-01714,"$9,247",Eastern Suffolk Board of Cooperative Educational Services,Patchogue,New York,07/01/2023,FY24
3417430,Educere,24-1786,"$3,445",West Deptford Township School District,West Deptford,New Jersey,07/01/2023,FY24
3405310,Educere,2223-3247-PYPBL,"$4,485",Fort Lee Borough School District,Fort Lee,New Jersey,07/01/2023,FY24
3406390,Educere,PO-23-02138-,"$3,990",Haddonfield Borough School District,Haddonfield,New Jersey,07/01/2023,FY24
3414640,Educere,24-00434,"$1,950",Sayreville Borough School District,South Amboy,New Jersey,07/01/2023,FY24
3413230,Educere,PO-23-1296-PYPBL,"$1,397",Plumsted Township School District,New Egypt,New Jersey,07/01/2023,FY24
3904364,Educere,240012-01,"$4,901",Brecksville-Broadview Heights City School District,Brecksville,Ohio,07/01/2023,FY24
3405310,Educere,2223-3247- PYPBL,"$4,485",Fort Lee Borough School District,Fort Lee,New Jersey,07/01/2023,FY24
3413650,Educere,2303164-PYPO,"$2,868",Randolph Township School District,Randolph,New Jersey,07/01/2023,FY24
3680280,Educere,24-00004,"$6,000",Dutchess Board of Cooperative Educational Services,Poughkeepsie,New York,07/01/2023,FY24
3404320,Educere,24-01027,"$1,244",East Windsor Regional School District,Hightstown,New Jersey,07/01/2023,FY24
,Educere,24-0009,"$5,000",Cumberland County Vocational School,Vineland,New Jersey,07/01/2023,FY24
3680680,Educere,24-00227,"$80,000",Putnam-Westchester Board of Cooperative Educational Services,Yorktown Heights,New York,07/01/2023,FY24
3904833,Educere,17096,"$9,800",Lowellville Local School District,Lowellville,Ohio,07/01/2023,FY24
3403420,Educere,24-0209,"$1,647",Collingswood Borough School District,Collingswood,New Jersey,07/01/2023,FY24
3413650,Educere,2303164,"$2,868",Randolph Township School District,Randolph,New Jersey,06/30/2023,FY23
3404380,Educere,302097,"$3,697",Eastern Camden County Regional School District,Voorhees,New Jersey,06/30/2023,FY23
3415450,Educere,302469,"$4,761",Delsea Regional High School School District,Franklinville,New Jersey,06/30/2023,FY23
4207680,Educere,6402400008,"$10,176",Dover Area School District,Dover,Pennsylvania,06/30/2023,FY23
4207680,Educere,6402400009,"$8,605",Dover Area School District,Dover,Pennsylvania,06/30/2023,FY23
3611310,Educere,233522,"$6,644",Fort Edward Union Free School District,Fort Edward,New York,06/30/2023,FY23
3411970,Educere,PO:302964 DT:06/30/2023,"$2,697",Ocean City School District,Ocean City,New Jersey,06/30/2023,FY23
3411970,Educere,PO:303007 DT:06/30/2023,"$1,537",Ocean City School District,Ocean City,New Jersey,06/30/2023,FY23
3408850,Educere,39951,"$4,052",Lodi Borough School District,Lodi,New Jersey,06/30/2023,FY23
3406390,Educere,PO-23-02131,"$2,793",Haddonfield Borough School District,Haddonfield,New Jersey,06/30/2023,FY23
3406390,Educere,PO-23-02138,"$3,990",Haddonfield Borough School District,Haddonfield,New Jersey,06/30/2023,FY23
3412510,Educere,304731,"$1,796",Pascack Valley Regional School District,Montvale,New Jersey,06/30/2023,FY23
3904979,Educere,DT:6/30/2023 TRN:24865,"$1,395",Hardin-Houston Local School District,Houston,Ohio,06/30/2023,FY23
,Educere,2023-Voucher-9148,"$4,600",Town of Foxborough,Foxboro,Massachusetts,06/30/2023,FY23
3408850,Educere,39950,"$4,052",Lodi Borough School District,Lodi,New Jersey,06/30/2023,FY23
3405610,Educere,PO: 23-03315 CHK:524834,"$1,063",Freehold Regional School District,Englishtown,New Jersey,06/30/2023,FY23
