"leaid","name","state_location","city_location","Official Domain JSON","Website","Job Board JSON","Job Board","External Platform"
"3333009","Rivendell Interstate School District","NH","","Response","rivendellschool.org","Response","https://www.applitrack.com/rivendellschool/onlineapp/jobpostings/view.asp?internaltransferform.Url=","AppliTrack"
"2300059","Lake View Plantation","ME","Lake View Plantation","Response","lakeviewpltme.org","Response","",
"2300064","Indian Township","ME","Calais","Response","maineindianeducation.org","Response","https://www.servingschools.com/employerjobs/dg9r/maine-indian-education","ServingSchools"
"2304620","Cranberry Isles","ME","Bar Harbor","Response","mdirss.org","Response","https://www.applitrack.com/mdirss/onlineapp/default.aspx","Frontline"
"2309810","Pleasant Ridge Plantation","ME","Pleasant Ridge Plantation","Response",,,,
"2604650","Bellevue Community Schools","MI","BELLEVUE","Response","bellevue-schools.com","Response","https://jobs.redroverk12.com/org/1111","Red Rover K12"
"2606090","Bloomfield Hills School District","MI","BLOOMFIELD HILLS","Response","bloomfield.org","Response","https://www.applitrack.com/oaklandschools/onlineapp/jobpostings/view.asp?district=46154","AppliTrack"
"2312180","Shirley","ME","Shirley","Response","shirleymaine.org","Response","",
"2314240","School Administrative District 51","ME","Cumberland","Response","msad51.org","Response","https://msad51.schoolspring.com/","SchoolSpring"
"2314330","School Administrative District 49","ME","Fairfield","Response","msad49.org","Response","https://www.servingschools.com/employerjobs/s8vz/msad-49","ServingSchools"
"2502430","Belchertown School District","MA","Belchertown","Response","belchertownps.org","Response","https://www.schoolspring.com/jobs/index.cfm?&iframe=1&employer=12250&color=730302&font=verdana&display_city=no&status=public","SchoolSpring"
"2502460","Bellingham School District","MA","Bellingham","Response","bellinghamk12.org","Response","https://blsd.tedk12.com/hire/index.aspx","PowerSchool"
"2925710","Ralls County R-II School District","MO","CENTER","Response","rallsr2.k12.mo.us","Response","https://www.rallsr2.k12.mo.us/page/employment-opportunities",
"2504020","Dartmouth School District","MA","Dartmouth","Response","dartmouth.school","Response","https://www.dartmouth.school/our-district/departments/human-resources/job-openings",
"2505100","Frontier School District","MA","South Deerfield","Response","frsu38.org","Response","https://www.schoolspring.com/jobs/?iframe=1&employer=12571&color=006600&font=verdana&%20display_city=yes&status=public","SchoolSpring"
"2623520","Mendon Community School District","MI","MENDON","Response","mendonschools.org","Response","https://mendonschools.tedk12.com/hire/index.aspx","PowerSchool Applicant Tracking"
"2623550","Menominee Area Public Schools","MI","MENOMINEE","Response","gomaroons.org","Response","https://www.gomaroons.org/page/careers",
"2623610","Merrill Community Schools","MI","MERRILL","Response","merrillschools.org","Response","https://www.merrillschools.org/page/employment",
"2625290","New Lothrop Area Public School","MI","NEW LOTHROP","Response","newlothrop.k12.mi.us","Response","https://jobs.redroverk12.com/org/1380","Red Rover K12"
"2625350","Tahquamenon Area Schools","MI","NEWBERRY","Response","taschools.org","Response","https://www.applitrack.com/eup/onlineapp/jobpostings/view.asp?internaltransferform.Url=&choosedistrict=true&applitrackclient=2104","AppliTrack"
"2625780","North Huron School District","MI","KINDE","Response","nhuron.org","Response","https://masb.mistaff.com/jobs/","MISTAFF"
"2508250","Nantucket School District","MA","Nantucket","Response","npsk.org","Response","https://www.nantucket-ma.gov/Jobs.aspx",
"2626400","Onaway Area Community School District","MI","ONAWAY","Response","onawayschools.com","Response","https://www.applitrack.com/mileader/onlineapp/","AppliTrack"
"2508530","New Salem-Wendell School District","MA","New Salem","Response","union28.org","Response","https://www.union28.org/employment",
